,Date,BCHUSD,BTCUSD,DASHUSD,ETCUSD,ETHUSD,GASUSD_e,GNOUSD_e,LSKUSD_b,LTCUSD,NXTUSD_b,OMGUSD_e,POTUSD_b,REPUSD_e,XEMUSD_b,XMRUSD,XRPUSD_b,ZECUSD_e,ZRXUSD_e
37,2017-07-03 00,,2428.75,167.39,16.76,274.85,,316.0775,2.44089375,39.82,0.131905413,,0.095061275,25.56105,0.154978538,41.51,0.242875,283.0955,
38,2017-07-03 01,,2445.14,169.91,16.8,271.74,,317.9358,2.442939374,40.1,0.132648845,,0.096265162,25.4783424,0.15648896,41.33,0.243389236,282.6096,
39,2017-07-03 02,,2420.33,169,16.7,272.9,,316.564,2.45421462,39.77,0.130334771,,0.093327925,25.445196,0.154417054,41.24,0.241379511,281.087,
40,2017-07-03 03,,2422,169,16.6,272.74,,321.8332,2.436532,40.5,0.12962544,,0.09273838,25.4657338,0.15430562,41.3,0.24161872,278.1948,
41,2017-07-03 04,,2449,168.29,16.9,275.37,,330.444,2.4208365,43.35,0.13344601,,0.09467834,25.581873,0.15492374,42.28,0.242451,283.6311,
42,2017-07-03 05,,2444,168.16,16.84,275,,332.75,2.404896,43.2,0.13314912,,0.0937274,25.60525,0.15548728,42.16,0.24276252,283.25,
43,2017-07-03 06,,2453.19,170.91,16.84,273.17,,330.5357,2.40903258,44,0.131123006,,0.091356796,25.6014924,0.157494798,41.5,0.244852894,284.0968,
44,2017-07-03 07,,2428.44,170.91,16.63,269.5,,323.4,2.361415056,43.79,0.12870732,,0.091163638,25.41385,0.15542016,41.32,0.242844,277.585,
45,2017-07-03 08,,2425.9,171,16.72,270,,326.7,2.34463235,43,0.127820671,,0.090364775,25.3341,0.15550019,41.22,0.242420187,278.1,
46,2017-07-03 09,,2430,169.03,16.64,268.02,,329.6646,2.379942,43.01,0.1260927,,0.09234,25.3841742,0.155277,41.46,0.2426598,276.0606,
47,2017-07-03 10,,2445,171.35,16.67,271.97,,331.8034,2.357469,44.62,0.12711555,,0.09283665,25.456392,0.15616215,41.75,0.244011,280.1291,
48,2017-07-03 11,,2464,171.87,16.86,271.9,,337.156,2.3844128,45.19,0.13044416,,0.0931392,25.520534,0.15582336,41.55,0.2444288,280.057,
49,2017-07-03 12,,2491.35,175,17.03,273,,343.98,2.39767524,45.8,0.133785495,,0.0946713,25.7439,0.159496227,42.46,0.246818045,281.19,
50,2017-07-03 13,,2559.77,179,17.5,281.03,,354.0978,2.535196208,46.62,0.140300994,,0.095325835,27.7236095,0.163953269,43.6,0.25431315,289.4609,
51,2017-07-03 14,,2532.12,180,17.41,278.2,,336.622,2.525283276,45.64,0.13673448,,0.094979821,27.87564,0.162156965,43.61,0.250198777,286.546,
52,2017-07-03 15,,2563.66,181,17.5,280.1,,341.722,2.54699621,46.99,0.140052746,,0.097547263,28.2901,0.16422806,43.9,0.253674157,288.503,
53,2017-07-03 16,,2542.3,177.67,17.33,279,,337.59,2.49704706,46.75,0.13779266,,0.096937899,28.0953,0.167003687,43.71,0.25092501,284.58,
54,2017-07-03 17,,2530,177.46,17.32,279,,334.8,2.44651,46.33,0.1376573,,0.0947485,28.0674,0.166474,43.82,0.2508495,284.58,
55,2017-07-03 18,,2515,176.69,17.12,276.04,,331.248,2.4647,45.25,0.13739445,,0.0963245,28.57014,0.166996,43.49,0.24961375,281.5608,
56,2017-07-03 19,,2539,181.81,17.26,277.5,,327.45,2.4470882,45.75,0.13850245,,0.09820852,28.6935,0.16831031,43.53,0.25087859,283.05,
57,2017-07-03 20,,2535.94,180.1,17.05,276.13,,328.5947,2.43577037,46.17,0.140871467,,0.098090159,28.469003,0.167321321,43.46,0.251337013,281.6526,
58,2017-07-03 21,,2560.22,181,17.2,279.69,,332.8311,2.479061026,46.68,0.140786498,,0.099106116,29.171667,0.169307349,43.69,0.254357857,290.8776,
59,2017-07-03 22,,2560,182,17.2,276.5,,337.33,2.47936,46.2,0.1408,,0.099584,28.9772,0.17152,43.87,0.2530048,290.325,
60,2017-07-03 23,,2536.46,178.57,17.12,275,,330,2.44895213,45.3,0.13790733,,0.099479961,28.5175,0.172580738,43.36,0.251261728,288.75,
61,2017-07-04 00,,2557.24,179.38,17.15,277.35,,332.82,2.486404452,46.6,0.140699345,,0.100115946,28.539315,0.18230564,43.89,0.252067147,291.2175,
62,2017-07-04 01,,2574,181.45,17.37,278.95,,334.74,2.5423398,47.3,0.14051466,,0.10061766,28.62027,0.1851993,44.08,0.25413102,292.8975,
63,2017-07-04 02,,2608.5,183.5,17.7,282.51,,336.1869,2.5328535,49.66,0.14315448,,0.10314009,29.126781,0.18838587,44.6,0.256128615,293.8104,
64,2017-07-04 03,,2610,181.3,17.62,279,,340.38,2.552058,50.51,0.1487439,,0.1042695,28.9602,0.1782108,44.7,0.25578,290.16,
65,2017-07-04 04,,2608,182.5,17.7,278.3,,342.309,2.53628,50.99,0.15058592,,0.10413744,28.21962,0.18310768,44.92,0.25477552,292.215,
66,2017-07-04 05,,2615,185.25,17.56,281.7,,332.406,2.5697605,50.44,0.1533436,,0.105123,28.147464,0.1856127,45.19,0.2521906,292.968,
67,2017-07-04 06,,2617,185.61,18,281.1,,337.32,2.5502665,50.45,0.15529278,,0.1036332,27.8289,0.18546679,44.98,0.2543724,295.155,
68,2017-07-04 07,,2615,186.91,18,280.7,,336.84,2.6027095,49.79,0.15593245,,0.10164505,27.7893,0.18590035,45.25,0.2547533,297.542,
69,2017-07-04 08,,2598,185.1,17.8,282.28,,335.9132,2.5686426,49.79,0.15239868,,0.10147788,27.1299308,0.1847178,44.86,0.25514958,293.5712,
70,2017-07-04 09,,2604,185.31,17.76,282.62,,336.3178,2.5849908,49.41,0.15124032,,0.10319652,27.9454656,0.18879,44.98,0.25396812,293.9248,
71,2017-07-04 10,,2591.23,183.05,17.9,281.87,,338.244,2.60936861,49,0.151586955,,0.100902496,27.62326,0.186490823,44.49,0.252230328,293.1448,
72,2017-07-04 11,,2607,186.42,17.89,281.25,,334.6875,2.5900545,50,0.15370872,,0.10258545,28.0378125,0.18924213,45,0.25493853,292.5,
73,2017-07-04 12,,2602.58,187.09,17.92,279.58,,335.496,2.602319742,50.3,0.154072736,,0.103921019,28.153706,0.188218586,44.88,0.254298092,293.559,
74,2017-07-04 13,,2608.39,185.89,17.82,277.13,,335.3273,2.64751585,52.7,0.153999346,,0.104153013,28.211834,0.188247506,45.02,0.255361381,293.7578,
75,2017-07-04 14,,2597.02,186.17,17.74,275.49,,325.0782,2.59572149,51.42,0.152081491,,0.10382886,28.265274,0.18438842,44.72,0.252170642,292.0194,
76,2017-07-04 15,,2554.55,182.05,17.29,269.19,,317.6442,2.537945425,51.07,0.146682261,,0.102054273,27.268947,0.17575304,44.05,0.247995714,282.6495,
77,2017-07-04 16,,2531,178,17.07,266.56,,319.872,2.5221415,49.32,0.13938217,,0.10058194,27.295744,0.16947576,43.52,0.24593727,282.5536,
78,2017-07-04 17,,2559.17,181.29,17.2,268.05,,321.66,2.558146332,50.53,0.146358932,,0.102878634,27.3411,0.17763199,43.62,0.248520999,284.133,
79,2017-07-04 18,,2550.5,180.16,17.28,269.59,,318.1162,2.5275455,50.67,0.144893905,,0.1025301,27.606016,0.17603551,44.18,0.24775557,283.0695,
80,2017-07-04 19,,2519.97,179,17.12,263.5,,313.565,2.48469042,50.07,0.141697913,,0.102839976,26.7716,0.176271902,44.01,0.244487489,276.675,
81,2017-07-04 20,,2530,179.8,17.27,265,,312.7,2.501664,50.9,0.1427173,,0.1041854,26.818,0.1766193,43.99,0.2462702,275.6,
82,2017-07-04 21,,2550,179.4,17.33,267.52,,321.024,2.494155,52.85,0.1425195,,0.104601,27.608064,0.179061,45.3,0.246126,275.5456,
83,2017-07-04 22,,2562,180.01,17.18,265.9,,316.421,2.4853962,52.53,0.14482986,,0.1028643,27.75996,0.18182514,45.04,0.24513216,276.536,
