Date,BTC/USD,LTC/USD,ETH/USD,DASH/USD,ETC/USD,XMR/USD,XRP/USD,BCH/USD
2018-04-23 03-AM,8856.54,147.74,632.79,465.64,19.1,276.63,0.870155055,1286.21
2018-04-23 02-AM,8869.94,148.91,633,460,19.33,276.5,0.875640477,1250
2018-04-23 01-AM,8810,148.19,630.53,468.03,19.19,274.83,0.8720138,1232.25
2018-04-23 12-AM,8792,145.92,620.78,466,18.62,269.04,0.85976968,1187.83
2018-04-22 11-PM,8842,149,631,480,19.01,274.79,0.87836428,1238.74
2018-04-22 10-PM,8892.9,150,636.07,472,19.1,276.7,0.88929,1242.01
2018-04-22 09-PM,8871.41,149.5,638.93,472,19.03,275,0.880931013,1233
2018-04-22 08-PM,8876.43,149.45,634.94,467.77,19,274.22,0.876547463,1233.14
2018-04-22 07-PM,8951,151.2,641,472,19.16,276,0.88480635,1250.5
2018-04-22 06-PM,8952.63,149.85,641.1,470.88,19.25,273.87,0.889264738,1255
2018-04-22 05-PM,8920,149.5,635,466.83,19.11,271.33,0.8883428,1231.95
2018-04-22 04-PM,8949.73,150,632.2,466.11,19.19,276.1,0.890229643,1226.36
2018-04-22 03-PM,8980.88,151.07,637.8,472.33,19.22,279.18,0.897638956,1229.49
2018-04-22 02-PM,8870,150.5,626.39,466.85,18.83,277.5,0.8858469,1190.16
2018-04-22 01-PM,8863.11,149.81,620.02,465.38,19.04,276.46,0.880993134,1170.75
2018-04-22 12-PM,8923.35,151,628,472,19.08,278.6,0.896796675,1180.62
2018-04-22 11-AM,8950,151.51,623.69,471.04,19.25,277.94,0.8932995,1172.5
2018-04-22 10-AM,8916.25,150,617.26,459.1,19.02,265,0.887969338,1169
2018-04-22 09-AM,8933.98,150.16,621.56,460,19.3,262.38,0.89786499,1176.11
2018-04-22 08-AM,8863.47,148.08,610.98,452.78,18.9,253,0.861529284,1155.23
2018-04-22 07-AM,8865.08,148,611,445.97,18.71,254.99,0.868689189,1174.73
2018-04-22 06-AM,8851.91,147.5,606.5,444.77,18.57,253,0.860494171,1144.04
2018-04-22 05-AM,8849.75,145.97,604.01,439,18.48,251.08,0.858868238,1127.26
2018-04-22 04-AM,8824.3,146,599.24,440,18.4,251.07,0.851809679,1124.68
2018-04-22 03-AM,8856,145.8,602,440.01,18.56,250.27,0.8510616,1141.3
2018-04-22 02-AM,8815,145.76,596.86,444.2,18.36,248.77,0.8488845,1136.41
2018-04-22 01-AM,8817,146,595.98,440.42,18.3,251.74,0.8446686,1122.71
2018-04-22 12-AM,8932,148.55,605.08,444.77,18.67,256,0.86836904,1149.47
2018-04-21 11-PM,8792.11,146.43,602.08,436.53,18.48,252,0.85679112,1130
2018-04-21 10-PM,8787.98,147.15,602,436.5,18.4,249.51,0.845052157,1124.37
2018-04-21 09-PM,8777.31,146.73,604.5,436.52,18.24,250.1,0.842007348,1136.02
2018-04-21 08-PM,8778.23,148.2,608,441.12,18.45,252.13,0.851224963,1140.7
2018-04-21 07-PM,8793.2,148.26,609,437.64,18.38,252.7,0.858568048,1147.66
2018-04-21 06-PM,8774.85,147.91,603.5,437.87,18.25,249.25,0.853441911,1132.67
2018-04-21 05-PM,8773.94,147.09,602.24,440,18.54,252.7,0.850896701,1130.28
2018-04-21 04-PM,8830,149.1,607.22,441.5,18.9,254.23,0.8731104,1173
2018-04-21 03-PM,8735.76,145.56,597.13,434.56,18.31,249.62,0.845097422,1082
2018-04-21 02-PM,8760,144.9,593.26,433.2,18.27,244.99,0.845778,1066
2018-04-21 01-PM,8747.98,145.24,592.23,439.23,18.3,246.77,0.844704949,1053.9
2018-04-21 12-PM,8699.5,143.87,588.71,435.07,17.88,248.48,0.83010629,1045
2018-04-21 11-AM,8710.97,144.98,585.74,435.08,18.13,245.5,0.843657445,1065.5
2018-04-21 10-AM,8710.1,145.57,588,433.99,18.28,250,0.84662172,1055
2018-04-21 09-AM,8820.73,149.4,598.92,446.69,18.94,256,0.87325227,1119
2018-04-21 08-AM,8888,153.71,614.51,456,19.34,268.99,0.8985768,1131.66
2018-04-21 07-AM,8932,155.25,619.91,457.19,19.55,267,0.91553,1141.63
2018-04-21 06-AM,8859,153.51,608.23,450.5,19.4,266.43,0.9062757,1127
2018-04-21 05-AM,8856.5,153.14,608.64,452.83,19.4,267.27,0.90956255,1130.18
2018-04-21 04-AM,8870.24,153.82,609,453,19.4,266,0.901216384,1137.16
2018-04-21 03-AM,8850,153.1,608.5,451,19.31,265,0.898275,1116
2018-04-21 02-AM,8811.15,152.99,604.03,452.32,19.3,259.11,0.899618415,1092
2018-04-21 01-AM,8820.76,154.71,610.45,456.37,19.44,267.16,0.902363748,1115.96
2018-04-21 12-AM,8860,155.59,617,459.98,19.62,271.19,0.92587,1121.69
2018-04-20 11-PM,8828.78,155,617.37,463,19.7,265.08,0.919075998,1132.9
2018-04-20 10-PM,8503.44,152.01,598.01,454.27,19.25,255.44,0.930276336,1124.35
2018-04-20 09-PM,8530.02,152.64,592.28,446.86,19.33,253.47,0.917830152,1109
2018-04-20 08-PM,8525.74,152.32,591.97,446.99,19.18,254.23,0.875593498,1126.72
2018-04-20 07-PM,8518.4,150.29,592.34,446,19.35,253.88,0.873136,1132.5
2018-04-20 06-PM,8500,150,589,441.08,19.15,250.75,0.86105,1106.36
2018-04-20 05-PM,8504.2,150,589.06,437.91,19,251.02,0.86232588,1100.87
2018-04-20 04-PM,8461,149.5,585,437.34,18.9,250,0.8562532,1078
2018-04-20 03-PM,8483.08,150.81,587.23,440,19,251,0.86103262,1070
2018-04-20 02-PM,8481,149.7,583,436,18.83,250.55,0.8540367,1070.93
2018-04-20 01-PM,8520,150.55,591,444,19.04,251.94,0.857964,1088.98
2018-04-20 12-PM,8518.76,149.88,589.9,445.1,18.79,252.1,0.870617272,1066.02
2018-04-20 11-AM,8499,149.35,585.3,441,18.9,250.58,0.8719974,1038.69
2018-04-20 10-AM,8320.77,145.8,571.3,435,18.27,247.76,0.851214771,984.42
2018-04-20 09-AM,8301,146,570.14,436.79,18.36,243,0.8417214,973.58
2018-04-20 08-AM,8332.88,146.12,569,439.4,18.43,245.77,0.850787048,980
2018-04-20 07-AM,8311,146.99,571,431.74,18.41,246.77,0.8460598,980
2018-04-20 06-AM,8260.93,145.01,563.99,426.7,18.26,241.41,0.826093,960
2018-04-20 05-AM,8250.53,144.9,561.3,427.34,18.06,241.08,0.813502258,953.11
2018-04-20 04-AM,8331.26,148.25,574,437,18.6,245.5,0.833959126,980.03
2018-04-20 03-AM,8325.03,148.26,571.24,432.41,18.7,244,0.84082803,980
2018-04-20 02-AM,8370,149.82,583.23,433.95,18.8,247.14,0.84537,987.03
2018-04-20 01-AM,8350.03,148.33,579.67,433,18.77,240.11,0.820390448,979.37
2018-04-20 12-AM,8287,146.23,568.44,435.23,18.38,238,0.78511038,967.59
2018-04-19 11-PM,8247.94,145.68,560.24,431.53,18.3,237.09,0.760625027,960.35
2018-04-19 10-PM,8270.01,146.19,562,429.98,18.25,237.42,0.766051026,950
2018-04-19 09-PM,8223.28,145.5,553.38,430,18.1,235.46,0.740259666,954.9
2018-04-19 08-PM,8245,145.69,555.81,428.89,18.16,235.45,0.74427615,964.92
2018-04-19 07-PM,8261.55,146.13,556.73,425.19,18.24,237.3,0.748083353,957
2018-04-19 06-PM,8259.5,145.13,561.32,423.89,18.32,236.4,0.7450069,975
2018-04-19 05-PM,8252.83,141.86,554.5,420,18.13,236.34,0.732356134,979.28
2018-04-19 04-PM,8221.39,141.95,547.32,423,18.07,233.39,0.72981279,947.23
2018-04-19 03-PM,8238.53,142.65,547,420.17,18,235,0.734300179,944
2018-04-19 02-PM,8222.11,142.31,546,420.1,18.04,231.77,0.721079047,949.99
2018-04-19 01-PM,8236,140.64,542.35,416.74,17.8,232,0.72295608,938.77
2018-04-19 12-PM,8193.54,140,536.29,413.52,17.65,227.02,0.712182497,894
2018-04-19 11-AM,8229.02,140.69,534.14,410,17.79,229.94,0.718146575,893.93
2018-04-19 10-AM,8235.5,140.96,534.97,412.5,17.75,230.01,0.71797089,890
2018-04-19 09-AM,8180.91,139.7,531.26,409.45,17.61,225.5,0.710593843,891.36
2018-04-19 08-AM,8170,139.56,532.26,413.5,17.56,228.46,0.7142214,891.37
2018-04-19 07-AM,8179.57,140.03,530.83,418.77,17.6,231.9,0.723810149,889.29
2018-04-19 06-AM,8183.79,140.03,530.8,421.23,17.71,232.35,0.722874171,882.02
2018-04-19 05-AM,8195.03,140.04,535.59,421.23,17.79,233,0.725997708,886
